run_seed,branch,feature,rank
501,clinical,Surgical Margin Resection Status_R1,17
501,clinical,Diagnosis Age,18
501,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T1c,19
501,clinical,Gleason pattern tertiary_3,20
501,clinical,Adjuvant Postoperative Targeted Therapy Administered Indicator_NO,21
501,clinical,Ct scan ab pelvis indicator_NO,22
501,clinical,Gleason pattern secondary,23
501,clinical,Primary Tumor Laterality_Bilateral,24
501,clinical,Gleason pattern tertiary_5,25
501,clinical,Patient Primary Tumor Site_Transition Zone,26
501,clinical,Positive Finding Lymph Node Hematoxylin and Eosin Staining Microscopy Count,27
501,clinical,Ct scan ab pelvis results_Extraprostatic Extension (regional lymphadenopathy)[e.g. cN1],28
501,clinical,Tumor Level_Base,29
501,clinical,Prior Cancer Diagnosis Occurence_Yes,30
501,clinical,Tissue Prospective Collection Indicator_YES,31
501,clinical,Tissue Retrospective Collection Indicator_NO,32
501,clinical,Primary Lymph Node Presentation Assessment Ind-3_YES,33
501,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles),34
501,clinical,Ct scan ab pelvis results_No Evidence of Extraprostatic Extension,35
501,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2a,36
501,clinical,Did patient start adjuvant postoperative radiotherapy?_YES,37
501,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T2b,38
501,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T3a,39
501,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8550/3",40
502,genomic,MRPS26,1
502,genomic,INE2,2
502,genomic,RASSF2,3
502,genomic,PRRG4,4
502,genomic,BRICD5,5
502,genomic,ACVRL1,6
502,genomic,SNHG1,7
502,genomic,TAOK3,8
502,genomic,ZNF324,9
502,genomic,SMYD4,10
502,genomic,PBLD,11
502,genomic,GTF3C6,12
502,genomic,SAMHD1,13
502,genomic,F3,14
502,genomic,SEMA4A,15
502,genomic,TROAP,16
502,genomic,GABPB2,17
502,genomic,MAPK11,18
502,genomic,ATP6V0E2,19
502,genomic,MOV10L1,20
502,genomic,SLC34A3,21
502,genomic,ZMYND19,22
502,genomic,DFNB42,23
502,genomic,LGALS8,24
502,genomic,RC3H1,25
502,genomic,SOX14,26
502,genomic,KIAA1508,27
502,genomic,INHBE,28
502,genomic,LPPR2,29
502,genomic,METTL18,30
502,genomic,ACTL8,31
502,genomic,PCED1A,32
502,genomic,DCAF4,33
502,genomic,TSSK3,34
502,genomic,IFI16,35
502,genomic,ARHGEF11,36
502,genomic,SLC25A39,37
502,genomic,PSMD10,38
502,genomic,DCAF6,39
502,genomic,ADRA1D,40
502,clinical,Person Neoplasm Status_TUMOR FREE,1
502,clinical,Ct scan ab pelvis results_Extraprostatic Extension (regional lymphadenopathy)[e.g. cN1],2
502,clinical,Person Neoplasm Status_WITH TUMOR,3
502,clinical,Year Cancer Initial Diagnosis,4
502,clinical,Bone Scan Result_Normal (no evidence of prostate cancer) [cM0],5
502,clinical,Neoplasm American Joint Committee on Cancer Clinical Primary Tumor T Stage_T3a,6
502,clinical,Gleason pattern primary,7
502,clinical,Primary Lymph Node Presentation Assessment Ind-3_YES,8
502,clinical,Ct scan ab pelvis results_No Evidence of Extraprostatic Extension,9
502,clinical,Tumor Level_Base,10
502,clinical,Primary Therapy Outcome Success Type_Complete Remission/Response,11
502,clinical,Primary Therapy Outcome Success Type_Progressive Disease,12
502,clinical,American Joint Committee on Cancer Tumor Stage Code_T2a,13
502,clinical,Primary Therapy Outcome Success Type_Partial Remission/Response,14
502,clinical,Surgical Margin Resection Status_R1,15
502,clinical,Ct scan ab pelvis indicator_NO,16
502,clinical,Race Category_BLACK OR AFRICAN AMERICAN,17
502,clinical,"Prior Cancer Diagnosis Occurence_Yes, History of Prior Malignancy",18
502,clinical,Gleason pattern tertiary_3,19
502,clinical,SEX,20
502,clinical,Tumor Level_Middle,21
502,clinical,Mri results_Extraprostatic Extension Localized (e.g. seminal vesicles),22
502,clinical,Adjuvant Postoperative Targeted Therapy Administered Indicator_YES,23
502,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8500/3",24
502,clinical,Tumor Level_Apex|Base,25
502,clinical,"International Classification of Diseases for Oncology, Third Edition ICD-O-3 Histology Code_8550/3",26
502,clinical,Primary Therapy Outcome Success Type_Stable Disease,27
502,clinical,Patient Primary Tumor Site_Peripheral Zone,28
502,clinical,Gleason pattern tertiary_5,29
502,clinical,Lymph Node(s) Examined Number,30
502,clinical,Diagnosis Age,31
502,clinical,Primary Tumor Laterality_Left,32
502,clinical,Tumor Level_Apex|Middle,33
502,clinical,Tissue Retrospective Collection Indicator_NO,34
