Model,AUC,Accuracy,Precision,Recall,F1,Sensitivity,Specificity
Genomic,0.6858108108108109,0.7558139534883721,0.2631578947368421,0.4166666666666667,0.3225806451612903,0.4166666666666667,0.8108108108108109
Clinical,0.7207207207207207,0.8255813953488372,0.2857142857142857,0.16666666666666666,0.21052631578947367,0.16666666666666666,0.9324324324324325
Late Fusion,0.7533783783783783,0.5930232558139535,0.2553191489361702,1.0,0.4067796610169492,1.0,0.527027027027027
