feature,fold_events,fresh_events,n_selected,n_events,stability,stable_at_0.70,mean_rank_when_selected
ZNF519,1,0,1,35,0.0286,False,39.0
ZNF585A,1,0,1,35,0.0286,False,22.0
ZNF623,1,0,1,35,0.0286,False,23.0
ZNF777,1,0,1,35,0.0286,False,16.0
ZNRF2,1,0,1,35,0.0286,False,9.0
ZPBP2,1,0,1,35,0.0286,False,29.0
AACSP1,0,1,1,35,0.0286,False,30.0
ACTL8,0,1,1,35,0.0286,False,31.0
AGTR2,0,1,1,35,0.0286,False,25.0
ANKL1,0,1,1,35,0.0286,False,14.0
ANKRD20A11P,0,1,1,35,0.0286,False,10.0
ASB18,0,1,1,35,0.0286,False,24.0
ATP1A1,0,1,1,35,0.0286,False,13.0
BAMBI,0,1,1,35,0.0286,False,28.0
C17orf64,0,1,1,35,0.0286,False,8.0
C5orf52,0,1,1,35,0.0286,False,22.0
CACNG6,0,1,1,35,0.0286,False,10.0
CALB1,0,1,1,35,0.0286,False,34.0
CASP5,0,1,1,35,0.0286,False,19.0
CCDC60,0,1,1,35,0.0286,False,40.0
CDH16,0,1,1,35,0.0286,False,2.0
CLRN3,0,1,1,35,0.0286,False,18.0
CYP4A11,0,1,1,35,0.0286,False,9.0
DCAF10,0,1,1,35,0.0286,False,31.0
DCAF6,0,1,1,35,0.0286,False,39.0
DMRT1,0,1,1,35,0.0286,False,18.0
EPR1,0,1,1,35,0.0286,False,38.0
FAM71E1,0,1,1,35,0.0286,False,33.0
FAM90A7P,0,1,1,35,0.0286,False,20.0
FGF3,0,1,1,35,0.0286,False,16.0
FLJ34503,0,1,1,35,0.0286,False,40.0
KRTAP13-1,0,1,1,35,0.0286,False,4.0
LMNTD1,0,1,1,35,0.0286,False,21.0
MT1Q,0,1,1,35,0.0286,False,4.0
MUC21,0,1,1,35,0.0286,False,10.0
MYH16,0,1,1,35,0.0286,False,25.0
MYH6,0,1,1,35,0.0286,False,23.0
NBPF3,0,1,1,35,0.0286,False,40.0
NPPC,0,1,1,35,0.0286,False,15.0
OR10H1,0,1,1,35,0.0286,False,30.0
OR4F29,0,1,1,35,0.0286,False,23.0
OR52E6,0,1,1,35,0.0286,False,34.0
OR56A6,0,1,1,35,0.0286,False,3.0
PEG3-AS1,0,1,1,35,0.0286,False,34.0
PGA4,0,1,1,35,0.0286,False,15.0
PPY,0,1,1,35,0.0286,False,32.0
RSRC1,0,1,1,35,0.0286,False,39.0
SEC61G,0,1,1,35,0.0286,False,36.0
SEMG2,0,1,1,35,0.0286,False,17.0
SIM1,0,1,1,35,0.0286,False,32.0
SLC2A2,0,1,1,35,0.0286,False,18.0
SLC38A8,0,1,1,35,0.0286,False,15.0
SNCB,0,1,1,35,0.0286,False,28.0
SNORA71D,0,1,1,35,0.0286,False,32.0
TPPP2,0,1,1,35,0.0286,False,8.0
TRIM15,0,1,1,35,0.0286,False,25.0
VDR,0,1,1,35,0.0286,False,31.0
XRN2,0,1,1,35,0.0286,False,35.0
ZAQ,0,1,1,35,0.0286,False,11.0
