model,mean_auc,std_auc
LightGBM,0.8691148775894538,0.06233108519424635
XGBoost,0.8649278091650974,0.057380627039457795
Random Forest,0.845128688010044,0.09052064292988829
CatBoost,0.8428939108600126,0.0700908730435219
Logistic Regression,0.8230885122410546,0.04555159661082176
SVM,0.7715128688010043,0.0533429341221386
