feature,importance
Primary Lymph Node Presentation Assessment Ind-3_YES,0.078534946
Gleason_Total,0.058702253
UBASH3B,0.05078148
SOCS2,0.040240325
Margin_x_LymphNode,0.036824893
SLC20A1,0.03465424
RHOC,0.028235497
SCA11,0.027490422
ADRA1D,0.027126838
AR_Signaling_Score,0.025646575
SPG20,0.024465181
PLAC4,0.024205565
CCDC127,0.024097959
PSA_Pathway_Score,0.023742544
CADM2,0.02231575
GSAP,0.021942914
TREM2,0.020494577
PCNXL4,0.020402258
ERGIC1,0.019375384
FAM32A,0.019290382
