model,mean_auc,std_auc
CatBoost,0.8516572504708098,0.04961810637449719
XGBoost,0.8191211550533584,0.0630595461825521
Random Forest,0.810615191462649,0.05940742698882508
SVM,0.8011173885750157,0.05665952331507324
Logistic Regression,0.7197677338355304,0.03486509556003674
