fold,n_var_features,n_mi_features,n_pso_features,mi_auc,pso_inner_fitness,pso_auc
1,18984,200,40,0.6777777777777778,0.8767478091528723,0.6648148148148149
2,18985,200,40,0.7185185185185186,0.8191907389375744,0.5574074074074075
3,18985,200,40,0.8661016949152542,0.8517721518987341,0.752542372881356
4,18984,200,40,0.67984934086629,0.8252564778751488,0.5743879472693032
5,18985,200,40,0.792843691148776,0.851047617115655,0.7740112994350282
