2026-09-19 02:23:00 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.7910
2026-09-19 02:23:03 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:23:20 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.7968 (Raw AUC ~= 0.8368)
2026-09-19 02:23:36 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.8031 (Raw AUC ~= 0.8431)
2026-09-19 02:23:36 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.8031
2026-09-19 02:23:36 | INFO     | prostate_bcr | Repeat seed=42 fold 5/5 ...
2026-09-19 02:23:37 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:23:37 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
2026-09-19 02:23:40 | INFO     | prostate_bcr | Preprocessing fitted on 344 training samples
2026-09-19 02:24:13 | INFO     | prostate_bcr | Genomic selector: 18904 variance \u2192 200 MI features
2026-09-19 02:24:13 | INFO     | prostate_bcr | Clinical selector: 77 variance -> 77 MI features
2026-09-19 02:24:16 | INFO     | prostate_bcr | NestedCV genomic PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:24:36 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 5/10: best Fitness=0.7756 (Raw AUC ~= 0.8156)
2026-09-19 02:24:55 | INFO     | prostate_bcr |   NestedCV genomic PSO iter 10/10: best Fitness=0.8054 (Raw AUC ~= 0.8454)
2026-09-19 02:24:55 | INFO     | prostate_bcr | NestedCV genomic PSO selected 40 features with final fitness=0.8054
2026-09-19 02:24:59 | INFO     | prostate_bcr | NestedCV clinical PSO: 12 particles, 10 iterations, target 40 features, alpha=0.0010
2026-09-19 02:25:15 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 5/10: best Fitness=0.7941 (Raw AUC ~= 0.8341)
2026-09-19 02:25:31 | INFO     | prostate_bcr |   NestedCV clinical PSO iter 10/10: best Fitness=0.8085 (Raw AUC ~= 0.8485)
2026-09-19 02:25:31 | INFO     | prostate_bcr | NestedCV clinical PSO selected 40 features with final fitness=0.8085
2026-09-19 02:25:32 | INFO     | prostate_bcr | Repeat seed=42 done: OOF AUC=0.7817 (weights 0.33/0.67), 9.6 min
2026-09-19 02:25:32 | INFO     | prostate_bcr | Repeat seed=43 fold 1/5 ...
2026-09-19 02:25:32 | INFO     | prostate_bcr | Column groups: 115 clinical, 18904 gene
