RASSF2,ASPA,FTSJ2,TMEM145,DKFZp547O146,CARD19,CTRC,ZNF324,MUL1,BOP1,SP1,SUGT1P1,RPS2P32,ZFP82,EIF2B2,MAGEL2,BCRP3,RACH1,RC3H1,FUS,TXNDC11,ZNF512B,GLIS2,AFF3,SPATA41,BRWD3,BMS1P4,NAA40,EIF5B,BAMBI,PHACTR4,DCAF4,IFI16,PARP2,ANKRD45,TMEM258,SLC5A7,MZF1,CLECL1,NBPF3,KLK3,KLK2,ACPP,TMPRSS2,AR,NKX3-1,STEAP2,FKBP5,CAMKK2,MKI67,TOP2A,CCNB1,CCNE1,CDK1,AURKA,BIRC5
1.09938,0.163575,0.86042,0.0,4.47852,0.595718,0.0329147,1.20114,0.722596,1.65979,3.90545,0.295167,0.285582,0.553129,0.667916,0.0242927,0.559258,1.00337,3.8059,3.84488,2.9262,1.1966,0.504677,1.69498,0.0427427,1.17636,1.14011,0.932189,2.54091,1.0127,2.11722,0.410572,1.04011,0.889269,0.163811,0.0,0.0387498,2.42277,0.0250856,0.865006,601.351,112.223,63.1017,25.9857,4.7573,58.8456,29.6776,12.7562,9.68883,0.459471,0.139128,0.270181,0.0552264,0.134473,0.228566,0.159026
1.22652,0.344423,0.995373,0.0,2.25995,0.286739,0.0,1.36679,0.6336,0.602389,3.21718,0.0,0.1077,0.404243,0.369985,0.0180148,0.070408,2.79159,2.56436,4.29131,2.19148,0.991275,0.663799,1.96939,0.113779,1.12942,0.936618,0.68054,2.52668,0.374676,1.84261,0.193036,1.41235,0.7444,0.162433,0.0,0.0,1.58631,0.260987,0.45285,261.358,68.5919,99.6972,11.4949,3.0656,24.5626,15.7058,4.95775,2.79828,0.10083,0.0998161,0.295278,0.105368,0.106195,0.195569,0.0422465
0.929228,0.251934,0.278553,0.0733337,2.97686,0.0,0.0,1.59504,0.578348,0.416259,3.14725,0.841512,0.139605,0.565991,0.68769,0.0,0.339705,0.807683,3.8007,3.65741,1.57262,0.749018,0.310191,2.06113,0.0,1.34801,1.3896,1.22754,2.07206,0.575343,2.03658,0.402887,1.06635,0.728473,0.0863764,0.0,0.0206175,2.06774,0.0,0.701134,534.205,105.511,92.9479,7.45371,3.14166,32.6337,32.389,7.43381,4.19252,0.101372,0.169777,0.19615,0.0,0.0,0.733786,0.190779
0.655834,0.330667,0.935157,0.0414854,3.89763,0.211162,0.0,1.22191,0.826856,0.399315,3.60469,0.0,0.0,0.667687,0.524279,0.0135522,0.951557,0.740201,3.41513,3.51694,1.96718,1.06191,0.660702,1.69953,0.0,1.08859,0.897135,1.24236,2.2559,0.253511,1.98943,0.703841,0.924926,0.704208,0.22936,0.0,0.0456295,1.60874,0.0,0.887113,550.771,75.5415,29.6915,16.6754,3.95503,32.4925,32.3986,11.9768,5.9839,0.183544,0.192002,0.29783,0.0968903,0.092912,0.28415,0.164515
1.01338,0.155955,1.17865,0.0,5.11672,0.0,0.0,1.30696,0.530346,0.401401,3.48364,0.0,0.119382,0.12044,0.31925,0.0,0.721531,1.32409,3.43543,3.1451,1.8848,0.71278,0.50655,4.2734,0.0,1.62621,0.75512,1.01761,3.25233,0.311654,1.81376,0.288607,0.932754,0.796698,0.0,0.0,0.0123917,0.709625,0.0310429,0.727288,533.259,69.0102,56.9692,18.3997,3.26072,43.7462,38.1676,10.6656,4.1164,0.156676,0.0924623,0.0319052,0.113934,0.0506248,0.120676,0.0
1.2197,0.120874,0.173413,0.0602634,2.36663,0.970645,0.0,1.20659,0.789165,0.386051,2.99064,0.0,0.109862,0.077582,0.473981,0.0,0.131666,0.143725,2.93072,2.34088,2.02123,0.514658,0.648169,4.22874,0.0,0.751291,0.370482,0.291758,2.91811,0.880781,1.70097,0.15556,1.3625,0.50142,0.0297937,0.0,0.0293346,0.643528,0.0,0.301239,515.577,59.6347,126.53,10.3009,3.01204,37.2486,23.8206,8.27342,8.18552,0.424652,0.135451,0.558912,0.0813234,0.0952601,0.201023,0.433307
0.395676,0.0,0.379247,0.0,0.723725,0.46729,0.0,0.317827,0.112751,0.0,3.63251,0.515162,0.0,0.0477354,0.22643,0.2389,0.0,9.41118,2.21464,2.87286,1.00354,0.410326,0.183003,2.77521,0.0,0.732804,0.270691,0.889118,0.903335,0.0,1.65107,0.143861,0.896522,0.443398,0.329054,0.0,0.0,0.39384,0.0,0.886708,201.22,31.1252,111.967,13.4037,2.47894,15.8774,9.75816,3.47168,4.40252,0.0610822,0.0758594,0.067362,0.0,0.392066,0.0,0.251566
1.40819,0.105597,0.259666,0.0,1.47707,0.0,0.0,0.620755,0.975835,0.145589,1.72946,0.0904155,0.0,0.275794,0.555676,0.138681,0.0,0.155003,2.19505,2.52802,1.1456,0.528598,0.317492,9.05753,0.0731879,0.680784,0.77098,0.734881,2.772,0.0307106,0.97276,0.239827,1.76139,0.154197,0.0499121,0.0,0.0,0.904664,0.0488741,0.340901,228.382,41.739,190.016,23.0487,1.35503,9.63631,10.2912,6.97435,7.6888,0.0818191,0.0897107,0.0,0.0,1.39289,0.0821705,0.235908
0.778535,0.446002,0.414021,0.0,1.80078,0.0,0.0,0.871371,0.511925,0.0921151,1.86267,0.0,0.0,0.0,1.26568,0.0111569,0.0,2.27619,2.18097,2.82322,1.51634,0.638199,0.596515,1.98938,0.204356,0.701629,0.500093,0.528955,1.67657,0.445983,1.33289,0.156981,0.926073,0.0,0.28556,0.0,0.0,0.408274,0.0,0.472604,338.44,55.7803,132.166,19.3033,1.7507,20.0047,9.68843,4.07571,2.55806,0.147454,0.205542,0.0,0.0,0.0,0.0280812,0.132361
1.31177,0.0,0.212043,0.0,1.41224,0.341632,0.0,0.369326,0.681282,0.336446,2.06188,0.0,0.366205,0.0640594,0.119203,0.0390692,0.0922419,1.49149,2.10358,2.16624,1.08441,0.722964,0.85711,3.74775,0.208432,0.657257,0.449824,0.948471,2.46614,0.0,1.029,0.0,1.17961,0.173611,0.266793,0.0602587,0.156892,0.492879,0.0,0.2589,185.644,40.5561,113.915,18.9496,2.08191,9.47998,8.00435,5.72082,2.09964,0.176528,0.0,0.0,0.213567,0.384654,0.172035,0.0801747
1.57904,0.0,1.27872,0.0,2.8845,1.32211,0.0,0.371001,0.783235,0.988261,3.68965,0.54223,0.0,0.337388,0.244073,0.0733033,0.0,2.48624,3.57365,2.81133,1.01941,1.09288,0.812151,1.03113,0.0,0.159236,1.80174,1.98605,2.72808,0.271634,1.396,0.488277,1.43134,0.724971,0.420876,0.0,0.0210579,1.03879,0.0,0.993648,733.262,86.7579,133.056,29.1295,5.09933,33.7716,21.5505,5.85546,14.2861,0.58454,0.147857,0.0,0.345295,0.089544,0.433391,0.563471
0.0,4.65363,0.0,0.0,0.392187,0.0,0.0,1.7046,0.394197,0.702379,2.84323,0.658647,2.65605,0.0,0.0,0.0,0.0,4.42627,0.815349,2.67323,1.70938,0.0,0.428054,0.583287,0.0,0.869389,0.260808,0.121828,1.75038,0.0,0.911872,1.00897,0.0353225,0.213375,0.845795,0.0,0.0,0.0,0.0,0.159968,173.645,22.2124,83.3608,12.8447,1.10843,6.06978,8.09083,2.54215,4.96394,0.149566,0.0,1.27668,0.0,0.0,0.0,0.0
0.856905,0.0,0.526111,0.0,2.8083,0.495269,0.0,1.21907,0.0528137,0.835381,2.53402,0.805265,0.0,0.0,0.406149,0.0394201,0.100211,1.32358,2.65645,4.02367,2.65948,1.32876,0.679254,1.6866,0.107755,1.11825,1.03397,1.48703,3.42408,0.349056,2.39794,0.121261,0.910104,0.17782,0.370225,0.32072,0.0,1.77447,0.0,0.534013,672.13,67.0715,48.322,40.9475,2.38034,23.5186,30.4039,3.1882,7.66633,0.289935,0.0713862,0.0279265,0.0,0.356807,0.300187,0.31831
1.07787,0.157914,0.653954,0.0,2.62404,0.300435,0.0,0.786365,0.553805,0.240451,3.88415,0.327747,0.348757,0.423606,1.14401,0.0102781,0.648115,3.40369,3.04555,4.01381,1.27399,0.696177,0.28514,4.76622,0.0102181,1.4366,1.32302,0.992642,2.85644,0.433094,2.23594,0.334403,0.862467,0.773854,0.217538,0.0,0.0910387,0.867353,0.017015,0.671871,559.048,93.7131,177.994,34.7823,3.78136,54.8157,35.1857,15.3456,7.17865,0.119566,0.12767,0.019987,0.0205785,0.244943,0.264624,0.0780226
1.07358,0.124021,0.879476,0.0,4.6729,0.135398,0.0,1.44406,1.79905,0.36376,5.54559,0.0,0.075801,0.37518,0.953877,0.0405069,0.100531,1.98388,3.6128,5.47036,2.99288,0.5735,0.882542,9.21616,0.0233404,1.35657,0.246896,0.544777,4.34329,0.737643,1.8867,0.314361,3.43827,0.499963,0.0659417,0.0,0.0280821,0.927026,0.0171776,0.618422,836.096,70.5254,319.453,28.3872,4.0216,29.136,41.7457,10.2581,14.9916,0.417508,0.130575,0.0404682,0.0470266,0.397925,0.0,0.0220333
0.713721,0.0877913,0.685103,0.0,2.88885,0.34543,0.0,2.28792,0.705606,0.523489,3.62699,0.495222,0.196812,0.229324,0.624541,0.0161782,0.317766,0.560268,3.72484,3.60409,1.78837,0.655853,0.30541,5.54629,0.0293268,1.26343,0.670452,1.04357,2.87009,1.30432,1.70152,0.303569,1.70267,0.752381,0.12349,0.0,0.0911291,1.17268,0.0355353,0.42282,302.319,68.9926,197.53,28.6549,2.28833,20.3332,30.9248,7.20574,13.7682,0.113459,0.0287419,0.105683,0.0925335,0.0,0.150636,0.0
2.66091,0.358132,0.713882,0.0,2.90093,0.147304,0.0,0.820213,0.985629,0.411386,3.91101,0.0,0.114312,0.517632,0.851265,0.067197,0.359865,1.37177,3.21841,4.21386,1.64175,0.875366,1.18589,5.96744,0.0,1.5702,0.465032,0.752081,3.07789,0.170556,1.96473,0.206756,2.74446,0.716048,0.449248,0.0,0.121933,0.711321,0.0181437,0.720933,192.049,26.4846,43.2659,11.1308,3.83207,10.278,14.7365,6.10281,3.7084,0.185525,0.194025,0.0400007,0.0614281,0.144257,0.122161,0.0519363
4.03963,0.62124,0.26037,0.0,2.76896,0.0486741,0.0,0.85564,0.639246,0.18988,3.78265,0.331113,0.233038,0.221277,0.418813,0.0199817,0.402961,0.173506,2.43159,4.11089,1.28446,0.440372,0.715203,2.41725,0.0105788,1.30698,0.410644,0.566296,3.23521,2.5546,1.62472,0.326503,1.31531,0.792426,0.057079,0.0,0.168725,0.494101,0.0187292,0.771349,359.888,60.8864,74.1442,23.6196,3.81063,61.6775,16.4363,4.53761,9.27352,0.343693,0.171161,0.0451526,0.0432017,0.130704,0.186098,0.162191
1.2662,0.187727,0.893672,0.0,3.21036,1.09101,0.0,1.30711,0.808628,0.640186,4.20671,0.0,0.0,0.168689,0.233943,0.0,0.719688,3.84146,2.92464,3.34843,2.75681,0.968579,0.820458,4.91792,0.0597646,1.1592,0.53988,0.717547,2.70146,0.139292,2.51161,0.182605,1.77869,0.811638,0.287717,0.0,0.0461219,0.883271,0.0,0.487202,273.838,60.379,156.101,25.6344,3.29483,35.1531,24.9654,5.02768,5.97934,0.271448,0.249073,0.539302,0.0,0.297209,0.201712,0.0
0.792535,0.402345,0.340296,0.0,1.96934,0.532464,0.0941603,0.626207,0.613895,0.258005,3.4954,0.0,0.0,0.393013,0.41959,0.0,0.061055,3.7117,4.28362,4.36587,1.8842,0.699618,0.642509,1.76904,0.0,1.353,0.633577,0.980757,2.69595,0.159607,1.67951,0.0984671,3.20666,1.02906,0.0404206,0.0,0.124395,0.671447,0.0,0.22775,32.9691,15.3528,48.0047,6.02177,1.98793,5.42023,5.82893,2.78545,2.13833,0.181749,0.105113,0.0883041,0.0847511,0.183512,0.201108,0.0726799
0.650336,0.831373,0.178939,0.0,2.79805,0.265671,0.0,1.30422,0.250213,0.260537,4.13722,0.215817,0.0,0.314536,0.127274,0.0159804,0.0991035,4.46973,2.54536,2.94293,1.07213,0.843085,1.30716,2.78209,0.0,0.947091,0.233065,0.763729,2.0451,0.313327,1.03781,0.2945,1.7903,0.333314,0.1294,0.0,0.0795105,0.778766,0.0,0.206951,177.351,24.8761,95.2707,12.4232,1.68749,6.39837,8.06425,4.23002,4.43078,0.0862214,0.0709481,0.0,0.0,0.308432,0.128633,0.18801
0.491628,0.331902,0.430371,0.0293506,2.23844,0.0,0.0480201,0.937042,0.702135,0.267783,3.77177,0.0839463,0.150937,0.417993,0.821826,0.0,0.0994605,5.53578,2.46838,4.60312,1.34468,0.820698,0.555096,4.07634,0.0593311,1.25702,1.32009,1.25587,2.49714,0.153284,1.88152,0.216892,1.90192,0.851079,0.158754,0.0,0.0,0.742338,0.0554349,0.592224,233.782,67.0835,154.047,17.789,2.12806,29.6036,17.5311,5.60797,5.41884,0.161822,0.054408,0.0916767,0.0202335,0.147079,0.0977692,0.0614831
