,ZC3H14,SLTM,HSD11B1L,TMEM176B,CADM3,RGAG4,CNTF,LIN7A,PRR15,C1QTNF7,CD109,SYT17,RPS10,TOP2B,RBBP7,UBE2G1,RHOC,ARMC4,CASP5,CHRD,CHCHD6,ANXA6
GSM1817906,0.46116728531879386,-0.5220720216434822,-1.035641048743611,-0.46116728531879275,1.241599379835335,0.3155571131805797,-1.0356410487436114,1.132629877363148,-0.8275632846762049,1.082865719899608,-0.013496592744814937,-2.026561886444788,0.44621249627104187,1.439735307788287,-2.026561886444786,1.5201467344210546,5.206933404989618,0.06753206734873646,0.65027252423014,-0.7901603424971239,0.2314799201147507,0.4913924280883637
GSM1817907,-1.0828657198996066,1.03564104874361,-0.09461385000571354,0.6502725242301406,0.23147992011475094,-1.082865719899605,0.6172946605313825,-0.43135655792066113,0.2592957200423335,-1.1853602514463202,0.683971162555656,0.5849730479589751,0.49139242808836836,5.206933404989621,-1.1326298773631462,-1.3676637132101859,1.7192764165835241,0.5532496597076946,0.4313565579206616,-0.23147992011475518,-0.2873130463165961,-0.20384159360708257
GSM1817908,-1.3676637132101845,-0.7538284716805244,-1.8512969419333174,0.06753206734873708,-0.5849730479589746,1.3676637132101865,2.3023509502334507,0.6839711625556565,-0.20384159360708198,0.6839711625556573,1.851296941933318,0.09461385000571396,0.23147992011475144,0.5849730479589781,1.8512969419333194,0.6172946605313809,-0.09461385000571448,-0.17635768526827855,0.990613724717916,0.12176501233057865,-0.3440544781359121,-0.5849730479589791
GSM1817909,-0.6172946605313817,-0.1490059890758265,-0.7184627414058254,0.7901603424971193,5.206933404989618,0.4611672853187954,0.31555711318057833,0.17635768526827894,-0.34405447813591544,0.2592957200423373,0.25929572004233603,-0.01349659274481532,-1.4397353077882833,-2.302350950233503,-0.28731304631659554,-0.01349659274481585,0.14900598907582488,-0.3440544781359126,1.851296941933318,0.8661579011539888,-1.0828657198996063,0.4313565579206581
GSM1817910,0.09461385000571486,1.367663713210183,-0.12176501233058264,-0.0404995889602809,0.2873130463165974,-1.367663713210183,0.25929572004233675,-0.6172946605313818,-0.6839711625556589,-1.2415993798353326,-0.2873130463165969,0.20384159360707854,0.09461385000571586,0.8275632846762048,-1.8512969419333172,0.013496592744813555,0.49139242808836703,-2.026561886444787,1.0356410487436116,0.5532496597076895,-1.0356410487436114,0.3440544781359094
GSM1817911,-0.09461385000571416,-0.6839711625556578,-0.5220720216434797,0.4611672853187942,0.040499588960282225,-0.28731304631659477,-0.20384159360707874,0.49139242808836725,-0.28731304631659943,0.12176501233058477,0.9060839546267636,0.6839711625556557,0.04049958896028269,-0.31555711318057555,-0.5220720216434794,-0.7184627414058274,0.09461385000571454,-0.6172946605313819,-0.6336976928606591,0.5220720216434754,0.522072021643481,0.9060839546267605
GSM1817912,-1.4397353077882842,1.3020528550238804,0.20384159360708007,-0.09461385000571379,-0.990613724717915,0.23147992011475202,0.9906137247179164,-0.14900598907582457,-0.5532496597076972,1.1326298773631487,-0.31555711318057816,0.1490059890758243,0.8859448997476324,0.8661579011539963,-0.25929572004233525,-1.5201467344210562,-0.9475048819939876,0.65027252423014,1.1853602514463224,0.1490059890758199,-0.6502725242301396,-0.8275632846762054
GSM1817913,1.3020528550238823,-0.7901603424971205,1.2415993798353357,-1.2415993798353335,1.3676637132101852,0.4913924280883689,-0.372833245869082,0.866157901153994,0.1490059890758221,0.8275632846762034,0.4019232985650878,0.1763576852682781,0.13537297969854178,-0.8275632846761997,-0.9475048819939865,0.20384159360707801,0.28731304631659654,0.17635768526827877,0.040499588960281566,-1.8512969419333234,5.206933404989619,-0.040499588960284945
GSM1817914,0.9906137247179163,0.584973047958974,0.013496592744815602,0.20384159360707982,-1.1326298773631465,0.5849730479589775,-0.49139242808836653,1.3020528550238823,0.09461385000571176,-0.6839711625556547,1.082865719899607,-0.2314799201147508,-2.0265618864447856,1.7192764165835266,0.46116728531879464,1.6117604804485852,0.3440544781359127,-0.5849730479589756,-0.4019232985650876,0.6502725242301349,-0.2592957200423358,-0.5220720216434839
GSM1817915,0.7184627414058268,0.6502725242301417,0.5532496597076954,0.040499588960282065,-1.035641048743611,-0.14900598907582294,1.2415993798353353,-0.5220720216434803,-0.9906137247179189,1.1853602514463235,-1.5201467344210553,-5.206933404891632,-1.0828657198996057,1.8512969419333205,0.013496592744815772,-1.1853602514463226,1.851296941933318,0.4611672853187936,-0.6336976928606591,-0.10817949123228565,0.40192329856508857,-0.753828471680526
GSM1817916,0.49139242808836736,-0.34405447813591433,0.9906137247179169,1.3676637132101854,0.43135655792066224,0.4019232985650899,0.3440544781359132,-0.40192329856508774,-0.6502725242301429,-5.206933404891629,0.1763576852682785,-0.7184627414058269,-0.40192329856508663,-0.14900598907582244,-0.990613724717915,1.3676637132101837,0.6839711625556563,-1.4397353077882844,-0.5532496597076941,-1.2415993798353393,-0.4313565579206608,-0.09461385000571783
