iter	Logloss
0	0.6422037339
1	0.5924116408
2	0.5561851215
3	0.532713344
4	0.5086645836
5	0.487578784
6	0.4636078191
7	0.4382689397
8	0.4251147866
9	0.4063084888
10	0.3931518232
11	0.3751612423
12	0.3616405254
13	0.3468547457
14	0.3411867573
15	0.3330434109
16	0.3218930693
17	0.3140424332
18	0.3034962002
19	0.2945201184
20	0.2884482333
21	0.2840738197
22	0.2773000136
23	0.2724029273
24	0.2684736854
25	0.2638959309
26	0.2608270383
27	0.2588060725
28	0.2529166534
29	0.248970334
30	0.245271249
31	0.2431135977
32	0.2407448867
33	0.2357557122
34	0.2327409588
35	0.2272650313
36	0.2236004407
37	0.2204184776
38	0.2150228946
39	0.2115063769
40	0.207771255
41	0.206292687
42	0.2043061389
43	0.2029404902
44	0.2000332594
45	0.1975145615
46	0.1930830439
47	0.1923644926
48	0.1881325358
49	0.1863452561
50	0.1832093399
51	0.1813813258
52	0.179923904
53	0.1772078364
54	0.1760387799
55	0.1758831846
56	0.1742265285
57	0.1732293081
58	0.1723521162
59	0.1704744811
60	0.1688841775
61	0.1677299466
62	0.1654278861
63	0.1644451488
64	0.1628412091
65	0.1604210669
66	0.1577307207
67	0.1567531158
68	0.1542854945
69	0.1535971566
70	0.1531083816
71	0.1514920404
72	0.1490003798
73	0.1473516753
74	0.1454449936
75	0.1436663401
76	0.1420744675
77	0.1407412004
78	0.139585149
79	0.1369115287
80	0.1354032204
81	0.1338037532
82	0.1324131307
83	0.131550236
84	0.1296376632
85	0.1293139031
86	0.1280039583
87	0.1276292612
88	0.1269054238
89	0.1262502956
90	0.1252566256
91	0.1249640436
92	0.1243470475
93	0.124088986
94	0.1232264871
95	0.1217733299
96	0.1196857982
97	0.1193375266
98	0.1179136923
99	0.117501401
100	0.1159369934
101	0.1143870945
102	0.1140182714
103	0.1138129508
104	0.1120591277
105	0.1106889509
106	0.1104715816
107	0.109675984
108	0.1075533236
109	0.1063960796
110	0.1051267679
111	0.1047642177
112	0.1040090004
113	0.102870771
114	0.1020187403
115	0.1012992645
116	0.1010625447
117	0.1005103281
118	0.09967055208
119	0.09941944831
120	0.09855122056
121	0.09794474398
122	0.09743002387
123	0.09673603758
124	0.09651624149
125	0.09528223254
126	0.09505121283
127	0.09371173115
128	0.09336522669
129	0.09312259263
130	0.09260191159
131	0.09125936367
132	0.08920261372
133	0.08834423414
134	0.08775862442
135	0.0870882007
136	0.08632180338
137	0.08523168677
138	0.08493918838
139	0.08479117814
140	0.08437159577
141	0.08286820405
142	0.08215057564
143	0.08092572398
144	0.08008373481
145	0.0785851134
146	0.07842150394
147	0.07829467851
148	0.07817371725
149	0.07809824694
150	0.07793465923
151	0.07692967101
152	0.07571818158
153	0.07495388618
154	0.07486715357
155	0.0746990719
156	0.07327144105
157	0.07316889938
158	0.07242791541
159	0.07235430368
160	0.07214421775
161	0.0715192568
162	0.07137876195
163	0.0703946366
164	0.06980187099
165	0.06966426007
166	0.06912910268
167	0.06787596398
168	0.06774833615
169	0.06689067824
170	0.06604022729
171	0.06567415043
172	0.06505797423
173	0.06433004676
174	0.06352586709
175	0.06328968753
176	0.06316136399
177	0.0624484558
178	0.06162724127
179	0.06054190831
180	0.06042753427
181	0.05971211325
182	0.05883581102
183	0.0582958615
184	0.05810718148
185	0.05731707147
186	0.05673790498
187	0.05666122842
188	0.05630814166
189	0.05595892079
190	0.05510838264
191	0.05480642543
192	0.0541077138
193	0.05363433767
194	0.05349648292
195	0.05340422562
196	0.05291239995
197	0.05282879335
198	0.05273899537
199	0.05209729728
200	0.05152695132
201	0.05076682735
202	0.05047053199
203	0.05025785963
204	0.05017685534
205	0.04945673784
206	0.04895799614
207	0.04889419348
208	0.04834622987
209	0.04799091546
210	0.04787646016
211	0.04781750012
212	0.04731809498
213	0.0467939057
214	0.04603688317
215	0.04598804335
216	0.04545788014
217	0.04498520468
218	0.04480064139
219	0.04474675503
220	0.04434583784
221	0.04365185001
222	0.04320258608
223	0.04314048377
224	0.0425979352
225	0.04255162568
226	0.04249171066
227	0.04208515358
228	0.04171355806
229	0.04143667039
230	0.04121654394
231	0.04071525006
232	0.04048954581
233	0.04007143668
234	0.04000891602
235	0.03969621047
236	0.03943074814
237	0.03915446919
238	0.03910346651
239	0.03897347543
240	0.03860913486
241	0.03855211306
242	0.03818236344
243	0.03813803329
244	0.03778302482
245	0.03732875621
246	0.03681441114
247	0.03616986825
248	0.03613555669
249	0.03577120548
